"Date","Open","High","Low","Close"
"22 Feb 2021","14999.05","15010.10","14635.05","14675.70"
"19 Feb 2021","15074.80","15144.05","14898.20","14981.75"
"18 Feb 2021","15238.70","15250.75","15078.05","15118.95"
"17 Feb 2021","15279.90","15314.30","15170.75","15208.90"
"16 Feb 2021","15371.45","15431.75","15242.20","15313.45"
"15 Feb 2021","15270.30","15340.15","15243.40","15314.70"
"12 Feb 2021","15186.20","15243.50","15081.00","15163.30"
"11 Feb 2021","15073.25","15188.50","15065.40","15173.30"
"10 Feb 2021","15119.05","15168.25","14977.20","15106.50"
"09 Feb 2021","15164.15","15257.10","15064.30","15109.30"
"05 Feb 2021","14952.60","15014.65","14864.75","14924.25"
"04 Feb 2021","14789.05","14913.70","14714.75","14895.65"
"03 Feb 2021","14754.90","14868.85","14574.15","14789.95"
"02 Feb 2021","14481.10","14731.70","14469.15","14647.85"
"29 Jan 2021","13946.60","13966.85","13596.75","13634.60"
"28 Jan 2021","13810.40","13898.25","13713.25","13817.55"
"27 Jan 2021","14237.95","14237.95","13929.30","13967.50"
"25 Jan 2021","14477.80","14491.10","14218.60","14238.90"
"22 Jan 2021","14583.40","14619.90","14357.75","14371.90"
"21 Jan 2021","14730.95","14753.55","14517.25","14590.35"
"20 Jan 2021","14538.30","14666.45","14517.55","14644.70"
"19 Jan 2021","14371.65","14546.05","14350.85","14521.15"
"18 Jan 2021","14453.30","14459.15","14222.80","14281.30"
"15 Jan 2021","14594.35","14617.45","14357.85","14433.70"
"14 Jan 2021","14550.05","14617.80","14471.50","14595.60"
"13 Jan 2021","14639.80","14653.35","14435.70","14564.85"
"12 Jan 2021","14473.80","14590.65","14432.85","14563.45"
"11 Jan 2021","14474.05","14498.20","14383.10","14484.75"
"08 Jan 2021","14258.40","14367.30","14221.65","14347.25"
"07 Jan 2021","14253.75","14256.25","14123.10","14137.35"
"06 Jan 2021","14240.95","14244.15","14039.90","14146.25"
"05 Jan 2021","14075.15","14215.60","14048.15","14199.50"
"04 Jan 2021","14104.35","14147.95","13953.75","14132.90"
"01 Jan 2021","13996.10","14049.85","13991.35","14018.50"
"31 Dec 2020","13970.00","14024.85","13936.45","13981.75"
"30 Dec 2020","13980.90","13997.00","13864.95","13981.95"
"29 Dec 2020","13910.35","13967.60","13859.90","13932.60"
"28 Dec 2020","13815.15","13885.30","13811.55","13873.20"
"24 Dec 2020","13672.15","13771.75","13626.90","13749.25"
"23 Dec 2020","13473.50","13619.45","13432.20","13601.10"
"22 Dec 2020","13373.65","13492.05","13192.90","13466.30"
"21 Dec 2020","13741.90","13777.50","13131.45","13328.40"
"18 Dec 2020","13764.40","13772.85","13658.60","13760.55"
"17 Dec 2020","13713.55","13773.25","13673.55","13740.70"
"16 Dec 2020","13663.10","13692.35","13606.45","13682.70"
"15 Dec 2020","13547.20","13589.65","13447.05","13567.85"
"14 Dec 2020","13571.45","13597.50","13472.45","13558.15"
"11 Dec 2020","13512.30","13579.35","13402.85","13513.85"
"10 Dec 2020","13488.50","13503.55","13399.30","13478.30"
"09 Dec 2020","13458.10","13548.90","13449.60","13529.10"
"08 Dec 2020","13393.85","13435.45","13311.05","13392.95"
"07 Dec 2020","13264.85","13366.65","13241.95","13355.75"
"04 Dec 2020","13177.40","13280.05","13152.85","13258.55"
"03 Dec 2020","13215.30","13216.60","13107.90","13133.90"
"02 Dec 2020","13121.40","13128.50","12983.55","13113.75"
"01 Dec 2020","13062.20","13128.40","12962.80","13109.05"
"27 Nov 2020","13012.05","13035.30","12914.30","12968.95"
"26 Nov 2020","12906.45","13018.00","12790.40","12987.00"
"25 Nov 2020","13130.00","13145.85","12833.65","12858.40"
"24 Nov 2020","13002.60","13079.10","12978.00","13055.15"
"23 Nov 2020","12960.30","12968.85","12825.70","12926.45"
"20 Nov 2020","12813.40","12892.45","12730.25","12859.05"
"19 Nov 2020","12839.50","12963.00","12745.75","12771.70"
"18 Nov 2020","12860.10","12948.85","12819.35","12938.25"
"17 Nov 2020","12932.50","12934.05","12797.10","12874.20"
"14 Nov 2020","12823.35","12828.70","12749.45","12780.25"
"13 Nov 2020","12659.70","12735.95","12607.70","12719.95"
"12 Nov 2020","12702.15","12741.15","12624.85","12690.80"
"11 Nov 2020","12680.60","12769.75","12571.10","12749.15"
"10 Nov 2020","12556.40","12643.90","12475.25","12631.10"
"09 Nov 2020","12399.40","12474.05","12367.35","12461.05"
"06 Nov 2020","12156.65","12280.40","12131.85","12263.55"
"05 Nov 2020","12062.40","12131.10","12027.60","12120.30"
"04 Nov 2020","11783.35","11929.65","11756.40","11908.50"
"03 Nov 2020","11734.45","11836.20","11723.30","11813.50"
"02 Nov 2020","11697.35","11725.65","11557.40","11669.15"
"30 Oct 2020","11678.45","11748.95","11535.45","11642.40"
"29 Oct 2020","11633.30","11744.15","11606.45","11670.80"
"28 Oct 2020","11922.60","11929.40","11684.85","11729.60"
"27 Oct 2020","11807.10","11899.05","11723.00","11889.40"
"26 Oct 2020","11937.40","11942.85","11711.70","11767.75"
"23 Oct 2020","11957.90","11974.55","11908.75","11930.35"
"22 Oct 2020","11890.00","11939.55","11823.45","11896.45"
"21 Oct 2020","11958.55","12018.65","11775.75","11937.65"
"20 Oct 2020","11861.00","11949.25","11837.25","11896.80"
"19 Oct 2020","11879.20","11898.25","11820.40","11873.05"
"16 Oct 2020","11727.40","11789.75","11667.85","11762.45"
"15 Oct 2020","12023.45","12025.45","11661.3","11680.35"
"14 Oct 2020","11917.40","11997.20","11822.15","11971.05"
"13 Oct 2020","11934.65","11988.20","11888.90","11934.50"
"12 Oct 2020","11973.55","12022.05","11867.20","11930.95"
"09 Oct 2020","11852.05","11938.60","11805.20","11914.20"
"08 Oct 2020","11835.40","11905.70","11791.15","11834.60"
"07 Oct 2020","11679.25","11763.05","11629.35","11738.85"
"06 Oct 2020","11603.45","11680.30","11564.30","11662.40"
"05 Oct 2020","11487.80","11578.05","11452.30","11503.35"
"01 Oct 2020","11364.45","11428.60","11347.05","11416.95"
"30 Sep 2020","11244.45","11295.40","11184.55","11247.55"
"29 Sep 2020","11288.60","11305.40","11181.00","11222.40"
"28 Sep 2020","11140.85","11239.35","11099.85","11227.55"
"25 Sep 2020","10910.40","11072.60","10854.85","11050.25"
"24 Sep 2020","11011.00","11015.30","10790.20","10805.55"
"23 Sep 2020","11258.75","11259.55","11024.40","11131.85"
"22 Sep 2020","11301.75","11302.20","11084.65","11153.65"
"21 Sep 2020","11503.80","11535.25","11218.50","11250.55"
"18 Sep 2020","11584.10","11584.10","11446.10","11504.95"
"17 Sep 2020","11539.40","11587.20","11498.50","11516.10"
"16 Sep 2020","11538.45","11618.10","11516.75","11604.55"
"15 Sep 2020","11487.20","11535.95","11442.25","11521.80"
"14 Sep 2020","11540.15","11568.90","11383.55","11440.05"
"11 Sep 2020","11447.80","11493.50","11419.90","11464.45"
"10 Sep 2020","11363.30","11464.05","11327.40","11449.25"
"09 Sep 2020","11218.60","11298.15","11185.15","11278.00"
"08 Sep 2020","11378.55","11437.25","11290.45","11317.35"
"07 Sep 2020","11359.60","11381.15","11251.70","11355.05"
"04 Sep 2020","11354.40","11452.05","11303.65","11333.85"
"03 Sep 2020","11566.20","11584.95","11507.65","11527.45"
"02 Sep 2020","11478.55","11554.75","11430.40","11535.00"
"01 Sep 2020","11464.30","11553.55","11366.90","11470.25"
"31 Aug 2020","11777.55","11794.25","11325.85","11387.50"
"28 Aug 2020","11602.95","11686.05","11589.40","11647.60"
"27 Aug 2020","11609.30","11617.35","11540.60","11559.25"
"26 Aug 2020","11512.85","11561.75","11461.85","11549.60"
"25 Aug 2020","11513.10","11525.90","11423.35","11472.25"
"24 Aug 2020","11412.00","11497.25","11410.65","11466.45"
"21 Aug 2020","11409.65","11418.50","11362.20","11371.60"
"20 Aug 2020","11317.45","11361.45","11289.80","11312.20"
"19 Aug 2020","11452.15","11460.35","11394.10","11408.40"
"18 Aug 2020","11259.8","11401.7","11253.15","11385.35"
"17 Aug 2020","11248.90","11267.10","11144.50","11247.10"
"14 Aug 2020","11353.30","11366.25","11111.45","11178.40"
"13 Aug 2020","11334.85","11359.30","11269.95","11300.45"
"12 Aug 2020","11289.00","11322.00","11242.65","11308.40"
"11 Aug 2020","11322.25","11373.60","11299.15","11322.50"
"10 Aug 2020","11270.25","11337.30","11238.00","11270.15"
"07 Aug 2020","11186.65","11231.90","11142.05","11214.05"
"06 Aug 2020","11185.70","11256.80","11127.30","11200.15"
"05 Aug 2020","11155.75","11225.65","11064.05","11101.65"
"04 Aug 2020","10946.65","11112.25","10908.10","11095.25"
"03 Aug 2020","11057.55","11058.05","10882.25","10891.60"
"31 Jul 2020","11139.50","11150.40","11026.65","11073.45"
"30 Jul 2020","11254.30","11299.95","11084.95","11102.15"
"29 Jul 2020","11276.90","11341.40","11149.75","11202.85"
"28 Jul 2020","11154.10","11317.75","11151.40","11300.55"
"27 Jul 2020","11225.00","11225.00","11087.85","11131.80"
"24 Jul 2020","11149.95","11225.40","11090.30","11194.15"
"23 Jul 2020","11135.00","11239.80","11103.15","11215.45"
"22 Jul 2020","11231.20","11238.10","11056.55","11132.60"
"21 Jul 2020","11126.10","11179.55","11113.25","11162.25"
"20 Jul 2020","10999.45","11037.90","10953.00","11022.20"
"17 Jul 2020","10752.00","10933.45","10749.65","10901.70"
"16 Jul 2020","10706.20","10755.30","10595.20","10739.95"
"15 Jul 2020","10701.00","10827.45","10577.75","10618.20"
"14 Jul 2020","10750.85","10755.65","10562.90","10607.35"
